META; english/league-1/portsmouth-v-plymouth; 2017-11-24 10:42:09 GMT+2; 2017-11-25 15:00; e70300-dr003
Portsmouth; 4/7; 8/13; 3/5; 8/13; 8/15; 4/7; 4/7; 4/7; 7/12; 6/10; 4/7; 8/13; 8/13; 6/10; 4/7; 4/7; 6/11; 5/9; 59/100; 4/7; 7/12; 8/13; 4/7; 3/5; 4/7; ; 4/7; 4/7; 4/7
Draw; 10/3; 14/5; 14/5; 13/5; 14/5; 3; 14/5; 11/4; 29/10; 14/5; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 29/10; 63/20; 58/19; 29/10; 3; 31/10; 57/20; 29/10; ; 11/4; 14/5; 3
Plymouth; 11/2; 19/4; 24/5; 5; 19/4; 5; 19/4; 5; 19/4; 5; 5; 9/2; 17/4; 19/4; 19/4; 5; 5; 5; 27/5; 43/10; 19/4; 19/4; 19/4; 9/2; 96/19; ; 24/5; 5; 27/5
