META; english/league-1/oldham-v-bury; 2017-10-24 12:28:31 GMT+3; 2017-10-24 19:45; e70300-dr003
Oldham; 5/4; 6/5; 6/5; 11/10; 43/40; 23/20; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 15/13; 31/25; 22/19; 8/7; 6/5; 6/5; 6/5; 6/5; ; 23/20; 6/5; 23/20
Bury; 12/5; 9/4; 11/5; 12/5; 9/4; 23/10; 11/5; 23/10; 11/5; 11/5; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 23/10; 28/13; 57/25; 2; 11/5; 9/4; 9/4; 11/5; 11/5; ; 11/5; 11/5; 23/10
Draw; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 28/11; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 53/20; 13/5; 28/11; 5/2; 13/5; 49/20; 27/11; ; 12/5; 12/5; 23/10
