META; english/league-1/bradford-v-doncaster; 2017-09-29 09:32:06 GMT+3; 2017-09-30 15:00; e70300-dr003
Bradford; 11/8; 13/10; 13/10; 6/5; 13/10; 117/100; 13/10; 13/10; 16/13; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 6/5; 16/13; 5/4; 133/100; 5/4; 16/13; 13/10; 5/4; 27/20; ; 5/4; 5/4; 13/10
Doncaster; 9/4; 21/10; 11/5; 11/5; 11/5; 21/10; 85/40; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 28/13; 56/25; 39/19; 11/5; 11/5; 9/4; 21/10; ; 2; 2; 11/5
Draw; 12/5; 9/4; 21/10; 21/10; 9/4; 11/5; 12/5; 11/5; 23/10; 21/10; 11/5; 43/20; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 62/25; 40/17; 23/10; 23/10; 9/4; 9/4; ; 12/5; 23/10; 12/5
