META; english/league-1/peterborough-v-southend; 2018-01-30 12:19:40 GMT+2; 2018-02-03 15:00; e70300-dr003
Peterborough; 1; 21/20; 21/20; 21/20; 107/ 100; 11/10; 1; 1; 24/23; 1; 21/20; 1; ; 21/20; 11/10; 1; 1; 1; 1; 1; 24/23; 21/20; 21/20; 1; 1; ; 20/21; 20/21; 
Draw; 13/5; 13/5; 5/2; 13/5; 53/20; 27/10; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; ; 5/2; 12/5; 13/5; 5/2; 27/11; 5/2; 13/5; 28/11; 13/5; 13/5; 5/2; 27/11; ; 2; 21/10; 
Southend; 5/2; 12/5; 5/2; 12/5; 68/25; 27/10; 5/2; 5/2; 27/11; 5/2; 5/2; 13/5; ; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; ; 12/5; 23/10; 
