META; english/league-1/bristol-rovers-v-afc-wimbledon; 2017-11-17 16:10:29 GMT+2; 2017-11-18 15:00; e70300-dr003
Bristol Rovers ; 6/5; 23/20; 15/13; 23/20; 43/40; 11/10; 11/10; 11/10; 8/7; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 117/100; 15/13; 8/7; 11/10; 23/20; 23/20; 11/10; ; 10/9; 10/9; 23/20
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 23/10; 5/2; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 40/17; 5/2; 27/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 23/10; 21/10; 12/5
AFC Wimbledon; 13/5; 12/5; 5/2; 12/5; 9/4; 5/2; 12/5; 12/5; 27/11; 5/2; 5/2; 5/2; 9/4; 49/20; 12/5; 5/2; 23/10; 27/11; 129/50; 28/13; 27/11; 5/2; 5/2; 5/2; 27/11; ; 5/2; 12/5; 5/2
