META; english/league-1/blackpool-v-fleetwood; 2018-04-10 08:19:07 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 21/20; 11/10; 23/20; 23/20; 57/50; 11/10; 11/10; 1; 13/11; 11/10; 11/10; 11/10; 23/20; 23/20; 1; 11/10; 21/20; 11/10; 10/9; 13/11; 11/10; 21/20; 1; 10/9
Draw; 12/5; 23/10; 11/5; 21/10; 62/25; 12/5; 23/10; 23/10; 9/4; 11/5; 12/5; 12/5; 12/5; 11/5; 11/5; 12/5; 9/4; 23/10; 40/17; 9/4; 12/5; 9/4; 11/5; 12/5
Fleetwood; 5/2; 13/5; 5/2; 23/10; 67/25; 5/2; 5/2; 23/10; 40/17; 5/2; 5/2; 12/5; 13/5; 9/4; 5/2; 27/11; 12/5; 9/4; 40/17; 13/5; 27/11; 11/5; 13/5; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-11 12:56:08 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 21/20; 11/10; 23/20; 23/20; 57/50; 11/10; 11/10; 1; 13/11; 23/20; 11/10; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 10/9; 13/11; 11/10; 11/10; 1; 10/9
Draw; 12/5; 23/10; 11/5; 21/10; 62/25; 12/5; 9/4; 23/10; 9/4; 11/5; 12/5; 12/5; 11/5; 11/5; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 11/5; 12/5
Fleetwood; 5/2; 13/5; 5/2; 23/10; 27/10; 5/2; 12/5; 23/10; 40/17; 13/5; 5/2; 13/5; 9/4; 5/2; 27/11; 12/5; 9/4; 40/17; 13/5; 5/2; 9/4; 13/5; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-11 20:20:10 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 21/20; 11/10; 23/20; 23/20; 57/50; 11/10; 11/10; 11/10; 13/11; 23/20; 11/10; 11/10; 6/5; 23/20; 1; 11/10; 11/10; 11/10; 10/9; 13/11; 11/10; 11/10; 1; 21/20; 10/9; 10/9
Draw; 12/5; 23/10; 11/5; 21/10; 62/25; 12/5; 9/4; 23/10; 9/4; 11/5; 12/5; 12/5; 23/10; 11/5; 11/5; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 40/17; 11/5; 21/10; 12/5; 12/5
Fleetwood; 5/2; 13/5; 5/2; 23/10; 27/10; 5/2; 12/5; 12/5; 40/17; 13/5; 5/2; 11/5; 13/5; 9/4; 5/2; 5/2; 12/5; 9/4; 40/17; 13/5; 28/11; 12/5; 11/5; 13/5; 13/5; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-12 10:47:18 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 21/20; 11/10; 23/20; 23/20; 57/50; 11/10; 11/10; 11/10; 13/11; 23/20; 11/10; 11/10; 6/5; 23/20; 1; 11/10; 11/10; 11/10; 10/9; 13/11; 11/10; 11/10; 1; 21/20; 10/9; 10/9
Draw; 12/5; 23/10; 11/5; 21/10; 62/25; 12/5; 9/4; 23/10; 9/4; 11/5; 12/5; 12/5; 23/10; 11/5; 11/5; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 40/17; 9/4; 21/10; 12/5; 12/5
Fleetwood; 5/2; 13/5; 5/2; 23/10; 27/10; 5/2; 12/5; 12/5; 40/17; 13/5; 5/2; 11/5; 13/5; 9/4; 5/2; 5/2; 12/5; 9/4; 40/17; 13/5; 28/11; 23/10; 11/5; 13/5; 13/5; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-13 08:18:07 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 1; 19/20; 19/20; 1; 49/50; 1; 20/21; 10/11; 15/16; 19/20; 19/20; 20/21; 17/20; 19/20; 17/20; 19/20; 19/20; 10/11; 28/29; 15/16; 19/20; 19/20; 10/11; 20/21; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 11/5; 5/2; 12/5; 23/10; 23/10; 27/11; 23/10; 12/5; 23/10; 23/10; 9/4; 11/5; 23/10; 40/17; 12/5; 27/11; 27/11; 5/2; 12/5; 12/5; 21/10; 9/4; 9/4
Fleetwood; 10/3; 3; 13/5; 13/4; 31/10; 29/10; 3; 29/10; 3; 3; 31/10; 11/4; 3; 3; 45/17; 29/10; 3; 58/19; 3; 14/5; 3; 14/5; ; ; ; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-13 16:18:39 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 10/11; 19/20; 20/23; 1; 23/25; 19/20; 9/10; 10/11; 15/16; 10/11; 9/10; 20/23; 17/20; 10/11; 5/6; 10/11; 10/11; 10/11; 7/8; 15/16; 20/23; 10/11; 5/6; 10/11; 10/11; 5/6; 20/21
Draw; 13/5; 23/10; 23/10; 21/10; 127/0; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; 5/2; 27/11; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 
Fleetwood; 7/2; 3; 13/4; 16/5; 7/2; 16/5; 16/5; 3; 29/10; 10/3; 16/5; 10/3; 3; 10/3; 14/5; 16/5; 31/10; 3; 56/19; 29/10; 17/5; 31/10; 10/3; 14/5; 14/5; 10/3; 
META; english/league-1/blackpool-v-fleetwood; 2018-04-14 12:20:41 GMT+3; 2018-04-14 15:00; e70300-dr003
Blackpool; 1; 19/20; 1; 103/00; 1; 10/11; 1; 19/20; 1; 1; 17/20; 1; 19/20; 66/67; 1; 1; 1; 1; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 9/4; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 12/5; 9/4; 11/5; 40/17; 9/4; 12/5; 40/17; 5/2; 40/17; 9/4; 11/5; 23/10; 23/10; 12/5
Fleetwood; 16/5; 3; 29/10; 14/5; 31/10; 31/10; 29/10; 3; 14/5; 29/10; 3; 14/5; 14/5; 29/10; 11/4; 14/5; 14/5; 3; 13/5; 14/5; 29/10; 37/13; 14/5; 3; 3; 
