META; english/league-1/mk-dons-v-rochdale; 2017-09-15 11:50:46 GMT+3; 2017-09-16 15:00; e70300-dr003
MK Dons ; 6/5; 23/20; 23/20; 11/10; 6/5; 43/40; 6/5; 11/10; 24/23; 15/13; 6/5; 23/20; 23/20; 6/5; ; 15/13; 11/10; 24/23; 15/13; 123/100; 13/12; 24/23; 1; 11/10; 11/10; ; 23/20; 10/9; 6/5
Draw; 12/5; 12/5; 47/20; 5/2; 12/5; 9/4; 12/5; 12/5; 27/11; 23/10; 23/10; 23/10; 49/20; 13/5; ; 23/10; 23/10; ; 40/17; 62/25; 27/11; 27/11; 12/5; 12/5; 12/5; ; 9/4; 21/10; 12/5
Rochdale; 13/5; 23/10; 47/20; 12/5; 12/5; 23/10; 12/5; 12/5; 28/11; 23/10; 23/10; 23/10; 47/20; 13/5; ; 12/5; 12/5; 28/11; 40/17; 49/20; 11/5; 28/11; 27/10; 5/2; 12/5; ; 23/10; 2; 12/5
