META; english/league-1/blackburn-v-mk-dons; 2017-08-25 20:18:14 GMT+3; 2017-08-26 15:00; e70300-dr003
Blackburn; 21/20; 21/20; 11/10; 1; 11/10; 1; 6/5; 11/10; 24/23; 11/10; 21/20; 11/10; 11/10; 20/21; 23/20; 11/10; 21/20; 1; 11/10; 23/20; 8/7; 24/23; 21/20; 11/10; 1; ; 11/10; 21/20; 23/20
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 9/4; 11/5; 12/5; 49/20; 5/2; 5/2; 12/5; 23/10; ; 23/10; 127/50; 40/17; 40/17; 12/5; 12/5; 12/5; ; 23/10; 21/10; 12/5
MK Dons; 3; 13/5; 5/2; 14/5; 13/5; 12/5; 12/5; 5/2; 45/17; 23/10; 9/4; 12/5; 5/2; 3; 23/10; 13/5; 13/5; 13/5; 5/2; 13/5; 37/19; 45/17; 5/2; 5/2; 5/2; ; 13/5; 5/2; 13/5
