META; english/league-1/northampton-v-charlton; 2018-03-26 12:19:02 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 7/5; 29/20; 11/8; 151/100; 7/5; 7/5; 4/3; 7/5; 7/5; 29/20; 7/5; 29/20; 7/5; 7/5; 23/17; 17/13; 4/3; 7/5; 7/5; 23/17; 5/4; 6/4; 
Northampton; 15/8; 2; 15/8; 41/20; 19/10; 15/8; 37/19; 19/10; 19/10; 19/10; 2; 2; 19/10; 24/13; 19/10; 13/7; 37/19; 19/10; 19/10; 19/10; 13/8; 2; ; 
Draw; 12/5; 9/4; 21/10; 21/10; 117/50; 11/5; 9/4; 40/17; 21/10; 12/5; 9/4; 9/4; 43/20; 11/5; 23/10; 28/13; 23/10; 40/17; 40/17; 12/5; 9/4; 11/5; 19/10; 23/10
META; english/league-1/northampton-v-charlton; 2018-03-27 08:18:47 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 7/5; 29/20; 11/8; 151/100; 29/20; 7/5; 7/5; 4/3; 7/5; 29/20; 29/20; 7/5; 29/20; 7/5; 7/5; 7/5; 23/17; 17/13; 4/3; 7/5; 7/5; 1/50; 13/10; 7/5; 6/4
Northampton; 15/8; 2; 15/8; 41/20; 19/10; 19/10; 15/8; 37/19; 19/10; 19/10; 19/10; 15/8; 2; 15/8; 19/10; 19/10; 37/19; 37/19; 2; 39/20; 37/19; 17/10; 9/5; 19/10; 2; 
Draw; 12/5; 9/4; 21/10; 21/10; 117/50; 23/10; 11/5; 9/4; 40/17; 21/10; 23/10; 9/4; 23/10; 43/20; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 23/10; 11/5; 19/10; 19/10; 9/4; 23/10
META; english/league-1/northampton-v-charlton; 2018-03-28 08:19:35 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 7/5; 7/5; 11/8; 147/100; 29/20; 11/8; 11/8; 4/3; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 7/5; 4/3; 11/8; 7/5; 27/20; 7/5; 7/5; 
Northampton; 15/8; 2; 15/8; 21/10; 21/10; 2; 37/19; 2; 19/10; 15/8; 41/20; 21/10; 19/10; 19/10; 24/13; 37/19; 2; 39/20; 2; 19/10; 2; ; ; ; ; 
Draw; 12/5; 9/4; 21/10; 21/10; 47/20; 23/10; 11/5; 11/5; 40/17; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 23/10; 9/4; 23/10; 23/10; 40/17; 12/5; 11/5; 9/4; 11/5; 23/10; 23/10
META; english/league-1/northampton-v-charlton; 2018-03-29 08:19:18 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 11/8; 27/20; 11/8; 27/20; 29/20; 13/10; 11/8; 4/3; 27/20; 13/10; 7/5; 7/5; 7/5; 13/10; 11/8; 23/17; 4/3; 11/8; 7/5; 13/10; 27/20; 13/10; 13/10; 13/10
Northampton; 11/5; 2; 21/10; 15/8; 113/50; 21/10; 2; 37/19; 21/10; 21/10; 21/10; 15/8; 41/20; 11/5; 2; 21/10; 19/10; 37/19; 2; 21/10; 21/10; 2; 11/5; 11/5; 
Draw; 12/5; 11/5; 21/10; 21/10; 12/5; 23/10; 11/5; 11/5; 40/17; 11/5; 23/10; 21/10; 23/10; 43/20; 12/5; 9/4; 23/10; 40/17; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10; 23/10
META; english/league-1/northampton-v-charlton; 2018-03-29 09:15:08 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 11/8; 27/20; 11/8; 27/20; 29/20; 13/10; 11/8; 4/3; 27/20; 13/10; 13/10; 7/5; 7/5; 13/10; 13/10; 23/17; 4/3; 11/8; 7/5; 13/10; 27/20; 13/10; 13/10; 13/10
Northampton; 11/5; 2; 21/10; 15/8; 113/50; 21/10; 2; 37/19; 21/10; 21/10; 11/5; 15/8; 41/20; 11/5; 21/10; 21/10; 19/10; 37/19; 2; 21/10; 21/10; 2; 11/5; 11/5; 
Draw; 12/5; 11/5; 21/10; 21/10; 12/5; 23/10; 11/5; 11/5; 40/17; 11/5; 23/10; 11/5; 23/10; 43/20; 12/5; 9/4; 23/10; 40/17; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10; 23/10
META; english/league-1/northampton-v-charlton; 2018-03-29 15:18:37 GMT+3; 2018-03-30 15:00; e70300-dr003
Charlton; 11/8; 5/4; 5/4; 13/10; 5/4; 11/8; 5/4; 13/10; 4/3; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 23/18; 4/3; 5/4; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 12/5; 9/4; 11/5; 11/5; 121/50; 23/10; 9/4; 9/4; 40/17; 11/5; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 23/10; 40/17; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; ; 
Northampton; 11/5; 9/4; 9/4; 11/5; 123/50; 9/4; 11/5; 21/10; 37/19; 23/10; 11/5; 9/4; 11/5; 9/4; 23/10; 11/5; 9/4; 2; 21/10; 37/19; 23/10; 11/5; 9/4; 11/5; 23/10; 12/5; 23/10
