META; english/league-1/northampton-v-scunthorpe; 2017-11-17 16:10:39 GMT+2; 2017-11-18 15:00; e70300-dr003
Scunthorpe; 13/10; 13/10; 13/10; 6/5; 127/100; 5/4; 6/5; 6/5; 19/17; 13/10; 5/4; 5/4; 6/5; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; 19/17; 13/10; 13/10; 13/10; 5/4; ; 5/4; 5/4; 5/4
Northampton; 23/10; 21/10; 11/5; 23/10; 39/20; 12/5; 23/10; 23/10; 12/5; 11/5; 9/4; 11/5; 2; 43/20; 21/10; 9/4; 2; 11/5; 58/25; 39/19; 12/5; 11/5; 11/5; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 9/4; 40/17; 11/5; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 49/20; 40/17; 40/17; 23/10; 12/5; 9/4; 23/10; ; 11/5; 21/10; 12/5
