META; english/league-1/oxford-v-doncaster; 2017-12-07 10:57:35 GMT+2; 2017-12-09 15:00; e70300-dr003
Oxford; 8/5; 13/8; 13/8; ; ; 8/5; 8/5; 6/4; 17/11; 13/8; 8/5; 8/5; ; 33/20; 6/4; ; 17/11; 8/5; 17/10; ; 17/11; 13/8; 13/8; 31/20; 8/5; ; ; 6/4; 
Doncaster; 13/8; 13/8; 28/17; ; ; 17/10; 17/10; 17/10; 28/17; 33/20; 17/10; 7/4; ; 33/20; 17/10; ; 17/10; 28/17; 44/25; ; 28/17; 7/4; 17/10; 17/10; 17/10; ; ; 6/4; 
Draw; 23/10; 12/5; 9/4; ; ; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 9/4; ; 23/10; 12/5; ; 9/4; 9/4; 121/50; ; 40/17; 23/10; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/oxford-v-doncaster; 2017-12-08 12:15:43 GMT+2; 2017-12-09 15:00; e70300-dr003
Oxford; 13/8; 13/8; 13/8; ; ; 8/5; 8/5; 6/4; 17/11; 13/8; 6/4; 8/5; ; 33/20; 8/5; ; 17/11; 17/11; 83/50; 16/11; 17/11; 13/8; 8/5; 8/5; 17/11; ; ; 6/4; 13/8
Doncaster; 9/5; 13/8; 28/17; ; ; 17/10; 17/10; 17/10; 28/17; 17/10; 17/10; 17/10; ; 33/20; 17/10; ; 17/10; 17/10; 9/5; 53/35; 28/17; 7/4; 17/10; 33/20; 17/10; ; ; 13/8; 7/4
Draw; 5/2; 12/5; 9/4; ; ; 5/2; 9/4; 12/5; 40/17; 9/4; 12/5; 23/10; ; 9/4; 9/4; ; 9/4; 23/10; 121/50; 12/5; 40/17; 23/10; 5/2; 9/4; 23/10; ; ; 11/5; 12/5
