META; english/league-1/portsmouth-v-doncaster; 2018-01-30 12:19:45 GMT+2; 2018-02-03 15:00; e70300-dr003
Portsmouth; 21/20; 23/20; 15/13; 23/20; 59/50; 23/20; 11/10; 1; 13/12; 23/20; 11/10; 23/20; ; 23/20; 23/20; 11/10; 1; ; 1; 9/8; 13/12; 11/10; 23/20; 11/10; 11/10; ; 1; 10/9; 
Draw; 12/5; 9/4; 21/10; 11/5; 119/ 50; 12/5; 9/4; 23/10; 40/17; 21/10; 9/4; 21/10; ; 43/20; 23/10; 9/4; 12/5; ; 12/5; 9/4; 40/17; 23/10; 9/4; 11/5; 9/4; ; 9/5; 2; 
Doncaster; 13/5; 5/2; 5/2; 13/5; 67/25; 14/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; ; 5/2; 12/5; 13/5; 13/5; 27/11; 13/5; 27/11; 5/2; 13/5; 13/5; 5/2; 5/2; ; 12/5; 2; 
