META; english/league-1/northampton-v-wigan; 2017-12-31 12:16:54 GMT+2; 2018-01-01 15:00; e70300-dr003
Wigan; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 8/15; 8/15; 8/15; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 8/15; 8/15; 11/20; 8/15; 8/15; ; 8/15; 8/15; 8/15
Draw; 16/5; 3; 3; 3; 13/4; 10/3; 3; 3; 31/10; 3; 16/5; 14/5; 3; 3; 3; 3; 3; 58/19; 3; 41/13; 31/10; 3; 16/5; 16/5; 58/19; ; 3; 14/5; 3
Northampton; 11/2; 19/4; 5; 9/2; 11/2; 11/2; 5; 5; 19/4; 5; 5; 5; 5; 5; 19/4; 5; 5; 96/19; 5; 9/2; 19/4; 5; 21/4; 19/4; 51/10; ; 24/5; 5; 11/2
