META; english/league-1/scunthorpe-v-rotherham; 2018-02-05 12:47:45 GMT+2; 2018-02-10 15:00; e70300-dr003
Scunthorpe; 13/8; 6/4; 8/5; ; 171/100; ; ; ; 17/11; 31/20; 8/5; ; ; 8/5; 6/4; 6/4; 17/11; 17/11; 53/35; 17/11; 13/8; 8/5; 31/20; 8/5; ; ; ; 
Rotherham; 8/5; 7/4; 17/10; ; 177/100; ; ; ; 17/10; 33/20; 17/10; ; ; 17/10; 17/10; 17/10; 28/17; 28/17; 29/18; 17/10; 7/4; 17/10; 33/20; 28/17; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 119/50; ; ; ; 9/4; 11/5; 23/10; ; ; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 9/4; 23/10; 12/5; 23/10; 9/4; ; ; ; 
META; english/league-1/scunthorpe-v-rotherham; 2018-02-07 14:16:45 GMT+2; 2018-02-10 15:00; e70300-dr003
Scunthorpe; 13/8; 8/5; 8/5; 8/5; 83/50; 13/8; 8/5; 8/5; 17/11; 8/5; 13/8; 8/5; 27/20; 8/5; 6/4; 8/5; 17/11; 17/11; 20/13; 17/11; 13/8; 8/5; 31/20; 8/5; ; 6/4; 6/4; 13/8
Rotherham; 8/5; 17/10; 17/10; 17/10; 179/ 100; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 19/10; 17/10; 17/10; 8/5; 28/17; 28/17; 13/8; 17/10; 7/4; 17/10; 33/20; 17/10; ; 13/8; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 23/10; ; 2; 2; 12/5
META; english/league-1/scunthorpe-v-rotherham; 2018-05-07 10:33:15 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 13/10; 11/8; 13/10; 11/8; 141/00; 7/5; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 27/20; 11/8; 11/8; 13/10; 5/4; 25/19; 11/8; 11/8; 13/10; 13/10; 11/8
Rotherham; 2; 2; 17/10; 107/0; 2; 15/8; 37/19; 2; 21/10; 2; 41/20; 19/10; 2; 37/19; 19/10; 37/19; 37/19; 2; 9/5; 21/10; ; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 121/0; 23/10; 11/5; 23/10; 21/10; 23/10; 21/10; 23/10; 9/4; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 12/5; 11/5; 2; 23/10
META; english/league-1/scunthorpe-v-rotherham; 2018-05-08 08:12:44 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 7/5; 7/5; 7/5; 11/8; 6/4; 29/20; 7/5; 11/8; 23/17; 7/5; 7/5; 29/20; 7/5; 6/4; 7/5; 7/5; 23/17; 5/4; 10/7; 4/3; 29/20; 7/5; 7/5; 7/5
Rotherham; 15/8; 2; 15/8; 17/10; 103/0; 2; 19/10; 15/8; 21/10; 15/8; 2; 15/8; 39/20; 19/10; 19/10; 24/13; 19/10; 35/19; 39/19; 15/8; 19/10; 19/10; 2; 
Draw; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 23/10; 43/20; 23/10; 9/4; 28/13; 9/4; 9/4; 9/4; 12/5; 28/13; 11/5; 9/4
META; english/league-1/scunthorpe-v-rotherham; 2018-05-09 10:12:50 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 7/5; 7/5; 7/5; 11/8; 149/00; 6/4; 6/4; 7/5; 16/11; 7/5; 6/4; 29/20; 7/5; 29/20; 7/5; 7/5; 7/5; 5/4; 10/7; 10/7; 6/4; 7/5; 7/5; 7/5; 5/4; 7/5
Rotherham; 15/8; 2; 15/8; 17/10; 52/25; 19/10; 15/8; 15/8; 2; 15/8; 19/10; 19/10; 15/8; 39/20; 19/10; 19/10; 19/10; 19/10; 35/19; 37/19; 19/10; 19/10; 15/8; 9/5; 6/4; 19/10
Draw; 23/10; 9/4; 21/10; 23/10; 47/20; 23/10; 11/5; 11/5; 9/4; 21/10; 11/5; 11/5; 23/10; 43/20; 23/10; 9/4; 28/13; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 19/10; 9/4
META; english/league-1/scunthorpe-v-rotherham; 2018-05-10 12:12:42 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 7/5; 7/5; 29/20; 11/8; 149/00; 6/4; 7/5; 7/5; 16/11; 6/4; 29/20; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 16/11; 10/7; 10/7; 29/20; 16/11; 7/5; 7/5; 11/8; 7/5; 6/4
Rotherham; 15/8; 2; 19/10; 17/10; 52/25; 19/10; 19/10; 15/8; 2; 19/10; 19/10; 15/8; 39/20; 19/10; 19/10; 37/19; 2; 35/19; 37/19; 2; 37/19; 15/8; 9/5; 7/4; 19/10; 9/5; 
Draw; 23/10; 9/4; 21/10; 23/10; 47/20; 23/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 43/20; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 23/10; 9/4; 23/10
META; english/league-1/scunthorpe-v-rotherham; 2018-05-11 13:01:44 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 16/11; 6/4; 29/20; 29/20; 7/5; 6/4; 6/4; 6/4; 16/11; 6/4; 10/7; 10/7; 6/4; 16/11; 7/5; 7/5; 6/4; 7/5; 6/4
Rotherham; 2; 19/10; 19/10; 51/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 15/8; 39/20; 19/10; 19/10; 37/19; 37/19; 35/19; 37/19; 2; 37/19; 15/8; 19/10; 2; 2; ; 
Draw; 23/10; 11/5; 21/10; 21/10; 57/25; 23/10; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 23/10; 43/20; 11/5; 21/10; 28/13; 11/5; 9/4; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 11/5; 9/4
META; english/league-1/scunthorpe-v-rotherham; 2018-05-12 12:14:33 GMT+3; 2018-05-12 12:30; e70300-dr003
Scunthorpe; 31/20; 6/4; 6/4; 6/4; 39/25; 31/20; 6/4; 6/4; 16/11; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 6/4; 16/11; 6/4; 22/15; 10/7; 31/20; 16/11; 6/4; 6/4; 6/4; 6/4; 8/5
Rotherham; 21/10; 2; 15/8; 2; 52/25; 2; 15/8; 2; 15/8; 19/10; 19/10; 15/8; 19/10; 2; 21/10; 37/19; 37/19; 20/11; 37/19; 19/10; 37/19; 2; 21/10; 2; 21/10; ; 
Draw; 9/4; 11/5; 21/10; 2; 111/0; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 21/10; 11/5; 11/5; 11/5
