META; english/league-1/wigan-v-bristol-rovers; 2017-09-15 11:51:00 GMT+3; 2017-09-16 15:00; e70300-dr003
Wigan; 3/4; 3/4; 3/4; 7/10; 3/4; 7/10; 3/4; 4/6; 5/7; 3/4; 3/4; 3/4; 8/11; 3/4; 7/10; 8/11; 13/18; 5/7; 5/7; 3/4; 3/4; 5/7; 8/11; 8/11; 8/11; ; 4/6; 4/6; 8/11
Draw; 3; 14/5; 27/10; 13/5; 11/4; 13/5; 3; 11/4; 45/17; 13/5; 27/10; 5/2; 14/5; 29/10; 11/4; 27/10; 27/10; 45/17; 27/10; 72/25; 11/4; 45/17; 13/5; 14/5; 11/4; ; 13/5; 23/10; 14/5
Bristol Rovers; 4; 7/2; 37/10; 7/2; 19/5; 10/3; 18/5; 7/2; 19/5; 18/5; 18/5; 15/4; 15/4; 4; 15/4; 15/4; 18/5; 19/5; 19/5; 41/10; 41/13; 19/5; 15/4; 7/2; 7/2; ; 7/2; 3; 7/2
