META; english/league-1/wigan-v-northampton; 2017-09-19 13:47:06 GMT+3; 2017-09-19 19:45; e70300-dr003
Wigan; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 6/17; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 4/11; 2/5; 6/17; 6/17; 39/100; 3/8; 6/17; 2/5; 2/5; 4/11; ; 4/11; 4/11; 4/11
Draw; 15/4; 18/5; 7/2; 7/2; 19/5; 16/5; 19/5; 10/3; 19/5; 18/5; 18/5; 7/2; 15/4; 19/5; 4; 15/4; 17/5; 19/5; 15/4; 79/20; 37/10; 19/5; 15/4; 19/5; 7/2; ; 7/2; 7/2; 7/2
Northampton; 9; 7; 7; 17/2; 8; 25/4; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 17/2; 9; 7; 15/2; 7; 15/2; 31/4; 43/5; 32/5; 15/2; 7; 15/2; 15/2; ; 41/5; 17/2; 44/5
