META; english/league-1/rotherham-v-portsmouth; 2018-01-17 12:28:53 GMT+2; 2018-01-20 15:00; e70300-dr003
Rotherham; 13/10; 11/8; 26/19; 11/8; 141/ 100; 7/5; 13/10; 11/8; 11/8; 11/8; 7/5; 13/10; 23/20; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 9/7; 11/8; 13/10; ; 27/20; 23/17; 27/20; 13/10; 11/8
Portsmouth; 2; 2; 2; 2; 54/25; 2; 2; 2; 37/19; 2; 21/10; 2; 23/10; 41/20; 2; 2; 2; 2; 2; 17/9; 37/19; 85/40; ; 2; 39/19; 9/5; 19/10; 21/10
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 23/10; 9/4; 9/4; 11/5; 23/10; 23/10; 23/10; 5/2; 9/4; 23/10; ; 9/4; 23/10; 21/10; 21/10; 23/10
META; english/league-1/rotherham-v-portsmouth; 2018-01-18 18:21:14 GMT+2; 2018-01-20 15:00; e70300-dr003
Rotherham; 13/10; 13/10; 23/17; 11/8; 141/ 100; 7/5; 13/10; 11/8; 11/8; 27/20; 7/5; 13/10; 13/10; 27/20; 11/8; 13/10; 13/10; 23/17; 13/10; 24/17; 11/8; 13/10; 13/10; 27/20; 23/17; 27/20; 13/10; 11/8
Portsmouth; 2; 21/10; 21/10; 2; 107/ 50; 2; 2; 2; 37/19; 21/10; 2; 2; 2; 41/20; 2; 2; 2; 2; 2; 16/9; 37/19; 85/40; 21/10; 2; 2; 2; 2; 21/10
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 23/10; 9/4; 23/10; 9/4; 11/5; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 21/10; 21/10; 12/5
META; english/league-1/rotherham-v-portsmouth; 2018-01-19 12:17:33 GMT+2; 2018-01-20 15:00; e70300-dr003
Rotherham; 7/5; 13/10; 26/19; 11/8; 71/50; 29/20; 11/8; 11/8; 11/8; 27/20; 7/5; 13/10; 13/10; 27/20; 11/8; 13/10; 13/10; 23/17; 13/10; 24/17; 11/8; 7/5; 11/8; 27/20; 23/17; ; 11/8; 7/5; 7/5
Portsmouth; 21/10; 21/10; 2; 2; 103/50; 21/10; 19/10; 2; 37/19; 2; 2; 2; 2; 41/20; 2; 2; 2; 37/19; 2; 16/9; 37/19; 2; 2; 2; 37/19; ; 19/10; 19/10; 2
Draw; 5/2; 23/10; 11/5; 9/4; 5/2; 5/2; 23/10; 23/10; 9/4; 11/5; 12/5; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 5/2; 9/4; 40/17; ; 12/5; 12/5; 12/5
