META; english/league-1/shrewsbury-v-peterborough; 2018-02-27 18:18:14 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 11/10; 11/10; 15/13; 23/20; 61/50; 11/10; 11/10; 1; 8/7; 23/20; 11/10; 23/20; 19/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 8/7; 23/20; 11/10; 15/13; ; 11/10; 21/20; 
Draw; 9/4; 23/10; 11/5; 9/4; 47/20; 12/5; 11/5; 11/5; 11/5; 11/5; ; 11/5; 12/5; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; 11/5; 11/5; ; 11/5; 21/10; 
Peterborough; 5/2; 13/5; 5/2; 5/2; 131/50; 13/5; 12/5; 12/5; 28/11; 13/5; 13/5; 5/2; 14/5; 13/5; 13/5; 5/2; 27/11; 5/2; 21/10; 28/11; 13/5; 5/2; 27/11; ; 12/5; 11/5; 
META; english/league-1/shrewsbury-v-peterborough; 2018-03-01 16:00:31 GMT+2; ; e70300-dr003
Shrewsbury w l w l d w; 11/10; 23/20; 23/20; 6/5; 123/100; 11/10; 6/5; 11/10; 8/7; 23/20; 23/20; 23/20; 1; 23/20; 6/5; 11/10; 15/13; 11/10; 9/8; 8/7; 23/20; 11/10; 15/13; 21/20; 11/10; 6/5
Draw; 9/4; 9/4; 11/5; 11/5; 49/20; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 12/5; ; 
Peterborough l d d d d w; 5/2; 5/2; 5/2; 12/5; 62/25; 13/5; 23/10; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 23/10; 5/2; 27/11; 5/2; 12/5; 28/11; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 01:02:58 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 23/20; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 9/4; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 11/5; 23/10; 40/17; 9/4; 9/4; 21/10; 23/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 9/4; 9/4; 21/10; 2; 21/10
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 03:02:59 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 23/20; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 9/4; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 11/5; 23/10; 40/17; 9/4; 11/5; 21/10; 23/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 9/4; 9/4; 21/10; 2; 21/10
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 04:02:55 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 23/20; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 9/4; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 11/5; 23/10; 40/17; 9/4; 9/4; 9/4; 23/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 9/4; 9/4; 21/10; 2; 21/10
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 05:02:57 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 23/20; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 9/4; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 11/5; 23/10; 40/17; 9/4; 9/4; 9/4; 23/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 9/4; 9/4; 2; 21/10; 
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 07:02:57 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 13/10; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 21/10; 23/10; 40/17; 9/4; 11/5; 9/4; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 9/4; 40/17; 11/5; 9/4; 11/5; 2; 19/10; 21/10
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 08:21:40 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 13/10; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 11/5; 9/4; 11/5; 12/5; 47/20; 9/4; 9/4; 21/10; 12/5; 
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 21/10; 23/10; 40/17; 9/4; 11/5; 9/4; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 9/4; 40/17; 11/5; 9/4; 11/5; 2; 21/10; 
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 09:02:57 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 13/10; 5/4; 5/4; 6/5; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 6/5; 17/14; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 123/50; 12/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 23/10; 11/5; 9/4; 11/5; 12/5; 47/20; 9/4; 9/4; 21/10; 12/5
Peterborough; 12/5; 9/4; 11/5; 12/5; 57/25; 5/2; 21/10; 23/10; 40/17; 9/4; 11/5; 9/4; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 9/4; 40/17; 11/5; 9/4; 11/5; 21/10; 2; 21/10
META; english/league-1/shrewsbury-v-peterborough; 2018-03-02 14:00:50 GMT+2; 2018-03-03 15:00; e70300-dr003
Shrewsbury; 13/10; 5/4; 6/5; 16/13; 6/5; 5/4; 6/5; 17/14; 16/13; 13/10; 5/4; 5/4
Draw; 12/5; 23/10; 9/4; 40/17; 12/5; 40/17; 11/5; 11/5; 40/17; 40/17; 11/5; 11/5
Peterborough; 5/2; 21/10; 23/10; 28/13; 23/10; 21/10; 23/10; 9/4; 28/13; 21/10; 21/10; 15/8
META; english/league-1/shrewsbury-v-peterborough; 2018-04-23 10:17:30 GMT+3; 2018-04-24 19:45; e70300-dr003
Shrewsbury; 6/5; 23/20; 23/20; 6/5; 6/5; 23/20; 11/10; 8/7; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 15/13; 11/10; 9/8; 8/7; 23/20; 15/13; 11/10; 10/9; 1; 23/20; 6/5
Peterborough; 5/2; 12/5; 12/5; 23/10; 62/25; 12/5; 23/10; 40/17; 12/5; 12/5; 5/2; 49/20; 5/2; 12/5; 40/17; 12/5; 11/5; 40/17; 23/10; 40/17; 9/4; 23/10; 2; 12/5; 12/5
Draw; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 12/5; 40/17; 23/10; 12/5; 11/5; 23/10; 12/5; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 12/5; 23/10; 9/5; 12/5; 12/5
META; english/league-1/shrewsbury-v-peterborough; 2018-04-24 08:17:31 GMT+3; 2018-04-24 19:45; e70300-dr003
Shrewsbury; 5/4; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 11/10; 16/13; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 5/4; 11/10; 17/14; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 10/9; 13/10
Peterborough; 12/5; 9/4; 11/5; 23/10; 59/25; 12/5; 9/4; 23/10; 28/13; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 12/5; 39/19; 28/13; 9/4; 11/5; 9/4; 9/4; 11/5; 2; 23/10
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 40/17; 5/2; 40/17; 9/4; 23/10; 23/10; 2; 12/5
