META; english/league-1/southend-v-northampton; 2017-09-15 11:50:54 GMT+3; 2017-09-16 15:00; e70300-dr003
Southend; 10/11; 10/11; 19/20; 10/11; 19/20; 37/40; 19/20; 10/11; 15/16; 19/20; 19/20; 20/21; 19/20; 1; 19/20; 10/11; 19/20; 15/16; 10/11; 24/25; 19/20; 15/16; 19/20; 10/11; 10/11; ; 10/11; 9/10; 20/21
Draw; 3; 13/5; 5/2; 5/2; 13/5; 23/10; 14/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 11/4; 5/2; 13/5; 12/5; ; 13/5; 69/25; 28/11; 5/2; 12/5; 13/5; 5/2; ; 5/2; 11/5; 11/4
Northampton; 3; 11/4; 14/5; 13/5; 3; 27/10; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 57/20; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 5/2; 14/5; 14/5; 14/5; 11/4; ; 14/5; 12/5; 14/5
