META; english/league-1/bristol-rovers-v-peterborough; 2017-08-11 12:36:06 GMT+3; 2017-08-12 15:00; e70300-dr003
Bristol Rovers; 21/20; 1; 1; 23/20; 21/20; 1; 21/20; 1; 8/7; 1; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 10/9; 1; 53/50; 30/29; 8/7; 1; 21/20; 1; ; 1; ; 21/20
Draw; 13/5; 13/5; 5/2; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 12/5; 27/11; 5/2; 133/50; 28/11; 27/11; 13/5; 13/5; 5/2; ; 5/2; ; 13/5
Peterborough; 14/5; 13/5; 13/5; 21/10; 5/2; 23/10; 13/5; 12/5; 23/10; 5/2; 5/2; 13/5; 53/20; 5/2; 12/5; 5/2; 5/2; 23/10; 28/11; 137/50; 40/17; 23/10; 5/2; 13/5; 12/5; ; 5/2; ; 27/10
