META; english/league-1/blackpool-v-oldham; 2017-08-25 20:18:17 GMT+3; 2017-08-26 15:00; e70300-dr003
Blackpool; 13/10; 5/4; 27/20; 5/4; 13/10; 5/4; 11/8; 5/4; 23/18; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 13/10; 5/4; 5/4; 13/10; 69/50; 13/10; 23/18; 13/10; 13/10; 5/4; ; 13/10; 13/10; 11/8
Draw; 11/5; 21/10; 41/20; 2; 21/10; 21/10; 11/5; 2; 28/13; 19/10; 19/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 9/4; 39/19; 28/13; 21/10; 85/40; 9/4; ; 2; 19/10; 11/5
Oldham; 13/5; 12/5; 9/4; 11/5; 12/5; 21/10; 23/10; 12/5; 9/4; 21/10; 21/10; 23/10; 47/20; 14/5; 23/10; 12/5; 23/10; 9/4; 9/4; 59/25; 57/29; 9/4; 11/5; 12/5; 9/4; ; 12/5; 2; 23/10
