META; english/league-1/oxford-v-shrewsbury; 2017-08-25 20:18:27 GMT+3; 2017-08-26 15:00; e70300-dr003
Oxford; 1; 10/11; 21/20; 19/20; 1; 10/11; 21/20; 21/20; 15/16; 1; 1; 1; 9/10; 20/21; 10/11; 1; 10/11; 10/11; 1; 103/100; 24/23; 15/16; 21/20; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 12/5; 47/20; 12/5; 12/5; 12/5; 13/5; 23/10; 27/11; 23/10; 9/4; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 53/20; 40/17; 27/11; 5/2; 5/2; 12/5; ; 12/5; 9/4; 5/2
Shrewsbury; 3; 3; 13/5; 3; 3; 13/5; 13/5; 13/5; 29/10; 5/2; 5/2; 13/5; 3; 3; 3; 14/5; 3; 14/5; 27/10; 143/50; 11/5; 29/10; 13/5; 14/5; 11/4; ; 14/5; 14/5; 14/5
