META; english/league-1/rochdale-v-wigan; 2018-04-09 10:26:34 GMT+3; 2018-04-10 19:45; e70300-dr003
Wigan; 1; 1; 19/20; 103/100; 10/11; 5/6; 15/16; 1; 19/20; 20/21; 21/20; 1; 19/20; 19/20; 19/20; 19/20; 15/16; 1; 20/21; 20/21; 10/11; 21/20; ; ; 
Draw; 5/2; 23/10; 9/4; 11/5; 123/50; 13/5; 12/5; 40/17; 9/4; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 40/17; 23/10; 12/5; 40/17; 12/5; 40/17; 23/10; 23/10; 21/10; 12/5
Rochdale; 16/5; 29/10; 29/10; 14/5; 31/10; 16/5; 3; 29/10; 3; 14/5; 13/5; 3; 14/5; 29/10; 29/10; 45/17; 3; 29/10; 29/10; 14/5; 27/10; 11/4; 3; ; 
META; english/league-1/rochdale-v-wigan; 2018-04-09 16:14:01 GMT+3; 2018-04-10 19:45; e70300-dr003
Wigan; 1; 19/20; 1; 10/11; 26/25; 10/11; 20/21; 5/6; 15/16; 1; 19/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 19/20; 1; 15/16; 1; 20/21; 1; 1; 
Draw; 5/2; 11/5; 21/10; 23/10; 13/5; 9/4; 5/2; 40/17; 11/5; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 9/4; 23/10; 40/17; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10
Rochdale; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 3; 3; 3; 13/5; 3; 3; 56/19; 3; 11/4; 3; 31/10; 3; 3; 3; ; ; ; ; 
META; english/league-1/rochdale-v-wigan; 2018-04-10 08:18:57 GMT+3; 2018-04-10 19:45; e70300-dr003
Wigan; 1; 19/20; 19/20; 19/20; 99/100; 10/11; 20/21; 5/6; 15/16; 19/20; 10/11; 20/21; 19/20; 19/20; 1; 19/20; 19/20; 19/20; 15/16; 15/16; 19/20; 19/20; 19/20; 20/21; 20/21; 20/21; 1
Draw; 5/2; 9/4; 11/5; 9/4; 119/50; 13/5; 23/10; 5/2; 23/10; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10
Rochdale; 16/5; 16/5; 16/5; 16/5; 17/5; 16/5; 16/5; 3; 31/10; 13/4; 16/5; 16/5; 3; 16/5; 16/5; 3; 31/10; 3; 29/10; 31/10; 16/5; 41/13; 3; 3; 10/3; ; 
