META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-30 02:18:11 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Cordoba; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rayo Vallecano; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-30 10:18:34 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Rayo Vallecano; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Cordoba; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-30 14:18:24 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Rayo Vallecano; ; ; 11/10; ; ; ; 11/10; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; ; ; 41/20; ; ; ; 11/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Cordoba; ; ; 13/5; ; ; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-30 18:18:04 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Rayo Vallecano; ; 29/20; 11/8; 29/20; 13/8; ; 7/5; 6/4; ; ; ; ; 29/20; ; 6/4; ; 16/11; 8/5; ; 16/11; ; ; ; ; ; ; 10/11; 7/5; 
Draw; ; 29/20; 17/10; 6/4; 8/5; ; 13/10; 9/5; ; ; ; ; 37/20; ; 17/10; ; 5/4; 5/4; ; 5/4; ; ; ; ; ; ; 23/20; 23/20; 
Cordoba; ; 13/5; 41/20; 5/2; 12/5; ; 85/40; 21/10; ; ; ; ; 9/4; ; 23/10; ; 58/19; 3; ; 58/19; ; ; ; ; ; ; 17/10; 14/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-30 22:17:31 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Draw; 6/5; 13/10; 33/20; 5/4; 7/5; ; 13/10; 5/4; ; ; ; ; ; ; 13/8; ; 5/4; 15/13; ; 5/4; ; 6/5; ; ; ; ; 23/20; ; 
Rayo Vallecano; 7/5; 6/4; 29/20; 17/10; 8/5; ; 7/5; 8/5; ; ; ; ; ; ; 13/8; ; 6/4; 9/5; ; 6/4; ; 7/4; ; ; ; ; 4/6; ; 
Cordoba; 16/5; 3; 39/20; 5/2; 11/4; ; 9/5; 11/4; ; ; ; ; ; ; 9/4; ; 33/10; 29/10; ; 33/10; ; 23/10; ; ; ; ; 12/5; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-31 02:17:36 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Draw; 6/5; 6/5; ; ; 5/4; ; 5/4; 5/4; ; ; ; ; ; 23/20; 13/8; 5/4; 5/4; 15/13; ; 5/4; ; 6/5; ; ; ; ; 10/9; ; 
Rayo Vallecano; 7/5; 6/4; ; ; 8/5; ; 7/5; 8/5; ; ; ; ; ; 6/4; 13/8; 17/11; 16/11; 9/5; ; 16/11; ; 7/4; ; ; ; ; 11/8; ; 
Cordoba; 16/5; 16/5; ; ; 10/3; ; 9/5; 11/4; ; ; ; ; ; 16/5; 9/4; 31/10; 57/17; 29/10; ; 57/17; ; 23/10; ; ; ; ; 14/5; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-31 10:17:35 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Draw; 6/5; 5/4; ; ; 13/10; ; 13/10; 5/4; ; ; ; ; 5/4; 23/20; ; 5/4; 13/10; 15/13; ; 6/5; ; 6/5; ; ; ; ; 5/6; ; 
Rayo Vallecano; 7/5; 29/20; ; ; 6/4; ; 7/5; 8/5; ; ; ; ; 9/5; 6/4; ; 16/11; 6/4; 9/5; ; 16/11; ; 7/4; ; ; ; ; 4/5; ; 
Cordoba; 16/5; 16/5; ; ; 7/2; ; 9/5; 11/4; ; ; ; ; 23/10; 16/5; ; 10/3; 31/10; 29/10; ; 33/10; ; 23/10; ; ; ; ; 13/8; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2017-05-31 14:17:22 GMT+3; 2017-06-04 19:00; Nothing; Xlenovo
Draw; 11/10; 11/10; ; 6/5; 6/5; ; 6/5; 5/4; ; ; ; ; 5/4; 23/20; ; 5/4; 15/13; 15/13; 23/20; 21/20; ; 6/5; 15/13; ; 15/13; ; 11/10; ; 
