META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-27 22:25:04 GMT+2; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; ; ; ; ; 9/10; ; ; 23/20; ; ; ; 11/10; 6/5; ; 11/10; 5/4; ; ; ; ; ; ; ; 
Sevilla B; 23/20; 6/5; 5/4; ; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 23/20; ; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 23/20; 13/10
Draw; 21/10; 2; 2; ; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; ; 21/10; 2; 37/19; 21/10; 2; ; 2; 19/10; 21/10
Numancia; 13/5; 23/10; 9/4; ; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 9/4; 23/10; 12/5; 5/2; 12/5; 13/5; ; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 06:49:59 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 23/20; 13/10
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 21/10; 2; ; 2; 19/10; 21/10
Numancia; 13/5; 23/10; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 9/4; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 10:52:44 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 6/5; 13/10
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 2; 37/19; 21/10; 2; ; 2; 2; 21/10
Numancia; 13/5; 23/10; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 11/5; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 14:55:48 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 6/5; 13/10
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 2; 37/19; 21/10; 2; ; 2; 2; 21/10
Numancia; 13/5; 23/10; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 11/5; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 19:07:14 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 6/5; 6/5
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 2; 37/19; 21/10; 2; ; 2; 2; 21/10
Numancia; 13/5; 23/10; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 11/5; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 23/10
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 23:06:29 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 5/4; 23/20; 6/5
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 2; 37/19; 21/10; 2; ; 2; 2; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 9/4; 23/10; 47/20; 9/4; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 23/10; 11/5; 23/10
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-03 03:02:47 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 5/4; 5/4; 6/5; 5/4; 6/5; ; 6/5; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 13/10; 5/4; 13/10
Draw; 21/10; 2; 41/20; 2; 21/10; 39/20; ; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 2; 37/19; 21/10; 2; ; 21/10; 2; 21/10
Numancia; 13/5; 9/4; 11/5; 23/10; 12/5; 11/5; ; 23/10; 11/5; 12/5; 11/5; 9/4; 47/20; 21/10; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-03 07:02:29 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; ; 6/5; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 5/4; 5/4; 23/20; 5/4; 5/4; 23/18; 7/6; 6/5; 6/5; ; 5/4; 13/10; 5/4
Draw; 21/10; 21/10; 2; 2; 21/10; 2; ; 15/8; 15/8; 2; 2; 2; 2; 9/4; 2; 2; 39/19; 21/10; 19/10; 39/19; 21/10; 21/10; 37/19; 21/10; 2; ; 2; 2; 11/5
Numancia; 12/5; 9/4; 9/4; 23/10; 12/5; 11/5; ; 23/10; 11/5; 12/5; 11/5; 9/4; 47/20; 11/5; 23/10; 23/10; 27/11; 12/5; 13/5; 27/11; 14/5; 28/13; 13/5; 23/10; 45/17; ; 5/2; 12/5; 12/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-03 14:28:39 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 6/5; 6/5; 5/4; 6/5; 5/4; 23/20; ; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; 6/5; 5/4; 23/20; 6/5; 33/25; 5/4; 7/6; 5/4; 6/5; ; 5/4; 13/10; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 2; 2; 2; 21/10; 19/10; 2; 2; 21/10; 37/19; 15/8; 2; ; 2; 2; 2
Numancia; 5/2; 23/10; 23/10; 23/10; 12/5; 9/4; ; 23/10; 11/5; 5/2; 9/4; 23/10; 47/20; 11/5; 23/10; 12/5; 28/11; 12/5; 13/5; 28/11; 69/25; 11/5; 13/5; 12/5; 45/17; ; 13/5; 5/2; 13/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-03 18:28:56 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 5/4; 5/4; 13/10; 5/4; 13/10; 6/5; ; 6/5; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 5/4; 13/10; 5/4; 23/20; 13/10; 33/25; 17/13; 7/6; 13/10; 6/5; ; 13/10; 13/10; 11/8
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 15/8; 2; 19/10; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 19/10; 2; 2; 21/10; 37/19; 15/8; 2; ; 2; 19/10; 2
Numancia; 12/5; 11/5; 11/5; 11/5; 12/5; 11/5; ; 23/10; 85/40; 12/5; 21/10; 11/5; 47/20; 21/10; 23/10; 23/10; 12/5; 12/5; 13/5; 12/5; 69/25; 21/10; 13/5; 23/10; 45/17; ; 5/2; 12/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-03 22:26:59 GMT+3; 2017-04-03 18:00; In Play; Xlenovo
Draw; 8/13; 8/15; 4/6; 3/4; 4/6; 4/7; ; 8/15; ; 8/15; 4/7; 6/10; 8/13; ; ; ; 13/17; 4/7; ; 5/7; ; ; ; 7/10; 19/20; ; ; 4/6; 4/6
Sevilla B; 11/4; 3; 5/2; 23/10; 11/4; 13/5; ; 11/4; ; 23/10; 14/5; 12/5; 57/20; ; ; ; 40/17; 27/10; ; 5/2; ; ; ; 12/5; 37/19; ; ; 27/10; 13/5
Numancia; 9/2; 9/2; 4; 15/4; 4; 17/4; ; 4; ; 15/4; 9/2; 4; 17/4; ; ; ; 62/17; 17/4; ; 50/13; ; ; ; 4; 7/2; ; ; 22/5; 22/5
