META; spain/la-liga-segunda/getafe-v-sd-huesca; 2017-06-11 22:15:06 GMT+3; 2017-06-17 20:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Getafe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/14; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/14; ; 
META; spain/la-liga-segunda/getafe-v-sd-huesca; 2017-06-12 02:15:05 GMT+3; 2017-06-17 20:00; Nothing; Xlenovo
Getafe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
META; spain/la-liga-segunda/getafe-v-sd-huesca; 2017-06-12 10:15:05 GMT+3; 2017-06-17 20:00; Nothing; Xlenovo
Getafe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
META; spain/la-liga-segunda/getafe-v-sd-huesca; 2017-06-16 02:15:49 GMT+3; 2017-06-17 20:00; Nothing; Xlenovo
Getafe; 3/4; 4/5; ; 4/5; 5/6; 3/4; 5/6; 8/11; 4/6; 8/11; 8/11; 4/5; ; 3/4; 4/5; 4/5; 5/6; ; 9/10; 5/6; 87/100; 4/5; 9/10; ; 9/10; ; 4/6; ; 
Draw; 5/2; 9/4; ; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 23/10; ; 23/10; 12/5; 23/10; 23/10; ; 2; 23/10; 5/2; 12/5; 2; ; 2; ; 21/10; ; 
SD Huesca; 15/4; 7/2; ; 16/5; 7/2; 3; 4; 7/2; 10/3; 7/2; 7/2; 10/3; ; 4; 15/4; 7/2; 37/10; ; 10/3; 37/10; 77/20; 3; 17/5; ; 17/5; ; 7/2; ; 
META; spain/la-liga-segunda/getafe-v-sd-huesca; 2017-06-16 10:15:49 GMT+3; 2017-06-17 20:00; Nothing; Xlenovo
