META; spain/la-liga-segunda/sevilla-b-v-lugo; 2017-02-09 12:01:47 GMT+2; 2017-02-10 19:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 23/20; ; 11/10; 11/10; 5/4; 5/4; 23/20; 5/4; 5/4; 6/5; 6/5; 5/4; 11/10; 23/20; 5/4; 63/50; 11/9; 7/6; 5/4; ; 5/4; 6/5; 5/4
Draw; 21/10; 2; 21/10; 21/10; 21/10; 41/20; ; 21/10; 2; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 54/25; 11/5; 39/19; 21/10; ; 21/10; 19/10; 21/10
Lugo; 13/5; 23/10; 11/5; 23/10; 12/5; 9/4; ; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 137/50; 2; 27/11; 9/4; ; 23/10; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-lugo; 2017-02-09 18:24:52 GMT+2; 2017-02-10 19:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 23/20; ; 11/10; 11/10; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 5/4; 11/10; 23/20; 5/4; 63/50; 11/9; 7/6; 5/4; ; 5/4; 6/5; 5/4
Draw; 21/10; 2; 21/10; 21/10; 21/10; 41/20; ; 21/10; 2; 2; 21/10; 2; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 54/25; 11/5; 39/19; 21/10; ; 21/10; 19/10; 21/10
Lugo; 13/5; 23/10; 11/5; 23/10; 12/5; 9/4; ; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 9/4; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 137/50; 2; 27/11; 9/4; ; 23/10; 11/5; 13/5
META; spain/la-liga-segunda/sevilla-b-v-lugo; 2017-02-09 22:23:15 GMT+2; 2017-02-10 19:00; Nothing; Xlenovo
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 23/20; ; 11/10; 11/10; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 5/4; 11/10; 23/20; 5/4; 63/50; 5/4; 7/6; 5/4; ; 5/4; 6/5; 13/10
Draw; 21/10; 2; 21/10; 21/10; 21/10; 41/20; ; 21/10; 2; 2; 21/10; 2; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 54/25; 28/13; 39/19; 21/10; ; 2; 19/10; 21/10
Lugo; 13/5; 23/10; 11/5; 23/10; 12/5; 9/4; ; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 9/4; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 137/50; 37/19; 27/11; 11/5; ; 12/5; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-lugo; 2017-02-10 02:24:27 GMT+2; 2017-02-10 19:00; Nothing; Xlenovo
