META; english/championship/huddersfield-v-reading; 2017-02-18 14:24:22 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; ; 8/11; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; ; ; ; 21/10; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; 19/10; ; 
META; english/championship/huddersfield-v-reading; 2017-02-18 18:20:13 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 11/10; ; 17/16; ; ; 5/6; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 12/5; ; 9/4; ; ; 21/10; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; 3; ; 27/10; ; ; 2; ; 
META; english/championship/huddersfield-v-reading; 2017-02-18 22:20:57 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; 17/20; 10/11; ; ; ; ; 37/40; 10/11; ; 10/11; 10/11; ; 9/10; 10/11; ; 1; 19/20; ; 10/11; ; 1; ; 10/11; ; ; 10/11; ; 
Draw; 13/5; 12/5; ; ; ; ; 5/2; 23/10; ; 12/5; 9/4; ; 13/5; 13/5; ; 13/5; 5/2; ; 12/5; ; 5/2; ; 27/11; ; ; 12/5; ; 
Reading; 3; 3; ; ; ; ; 31/10; 11/4; ; 3; 14/5; ; 3; 3; ; 3; 29/10; ; 14/5; ; 13/4; ; 56/19; ; ; 3; ; 
META; english/championship/huddersfield-v-reading; 2017-02-19 02:22:36 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; 17/20; 10/11; ; ; ; ; 37/40; 10/11; ; 10/11; 10/11; 20/21; 9/10; 10/11; ; 1; 19/20; ; 10/11; 19/20; 1; ; 10/11; ; ; 10/11; ; 
Draw; 13/5; 5/2; ; ; ; ; 5/2; 23/10; ; 12/5; 9/4; 5/2; 5/2; 13/5; ; 13/5; 28/11; ; 12/5; 28/11; 5/2; ; 27/11; ; ; 5/2; ; 
Reading; 3; 3; ; ; ; ; 31/10; 11/4; ; 3; 29/10; 14/5; 3; 3; ; 3; 29/10; ; 14/5; 29/10; 13/4; ; 56/19; ; ; 3; ; 
META; english/championship/huddersfield-v-reading; 2017-02-19 06:20:23 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; 17/20; 10/11; ; ; ; ; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 9/10; 10/11; ; 19/20; 19/20; ; 10/11; 19/20; 1; ; 10/11; ; ; 10/11; ; 
Draw; 13/5; 5/2; ; ; ; ; 5/2; 23/10; 13/5; 12/5; 9/4; 5/2; 5/2; 13/5; ; 13/5; 28/11; ; 12/5; 28/11; 5/2; ; 27/11; ; ; 5/2; ; 
Reading; 3; 3; ; ; ; ; 31/10; 11/4; 3; 3; 29/10; 14/5; 3; 3; ; 16/5; 29/10; ; 14/5; 29/10; 13/4; ; 56/19; ; ; 3; ; 
META; english/championship/huddersfield-v-reading; 2017-02-19 10:21:11 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Huddersfield; 17/20; 10/11; ; ; ; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 20/21; 9/10; 10/11; 10/11; 19/20; 19/20; ; 10/11; 19/20; 1; ; 10/11; ; ; 9/10; ; 
