META; english/championship/qpr-v-rotherham; 2017-03-11 22:20:33 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rotherham; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 02:19:38 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rotherham; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 06:19:50 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rotherham; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 10:20:27 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rotherham; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 14:20:06 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 1/2; 1/2; ; ; 8/15; ; 1/2; ; ; 11/20; ; ; 1/2; ; ; 8/15; 1/2; ; 8/15; 1/2; ; ; 8/15; ; ; 3/10; ; 
Draw; 14/5; 14/5; ; ; 16/5; ; 16/5; ; ; 3; ; ; 3; ; ; 31/10; 11/4; ; 14/5; 14/5; ; ; 56/19; ; ; 8/5; ; 
Rotherham; 13/2; 11/2; ; ; 6; ; 6; ; ; 19/4; ; ; 6; ; ; 13/2; 6; ; 27/5; 6; ; ; 27/5; ; ; 3; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 18:20:04 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 1/2; ; 1/2; 9/20; 12/25; 9/20; ; 1/2; 4/9; ; ; 9/20; 4/9; 1/2; 1/2; 10/21; ; 4/9; 10/21; ; ; 10/21; 4/9; ; 4/9; ; 
Draw; 31/10; 14/5; ; 16/5; 7/2; 7/2; 7/2; ; 7/2; 7/2; ; ; 10/3; 16/5; 10/3; 10/3; 58/19; ; 14/5; 58/19; ; ; 56/19; 16/5; ; 10/3; ; 
Rotherham; 7; 11/2; ; 11/2; 13/2; 6; 6; ; 11/2; 11/2; ; ; 6; 15/2; 11/2; 13/2; 6; ; 13/2; 6; ; ; 13/2; 6; ; 33/5; ; 
META; english/championship/qpr-v-rotherham; 2017-03-12 22:20:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; ; 1/2; 4/9; 4/9; ; 9/20; 4/9; 1/2; 1/2; 10/21; ; 4/9; 10/21; ; 5/11; 6/13; 4/9; ; 4/9; ; 
Draw; 31/10; 18/5; 17/5; 16/5; 7/2; 7/2; 18/5; ; 7/2; 7/2; 13/4; ; 10/3; 16/5; 10/3; 10/3; 41/13; ; 3; 41/13; ; 57/17; 31/10; 16/5; ; 10/3; ; 
Rotherham; 7; 11/2; 6; 11/2; 13/2; 6; 6; ; 11/2; 11/2; 11/2; ; 6; 7; 11/2; 6; 6; ; 13/2; 6; ; 53/10; 13/2; 6; ; 31/5; ; 
META; english/championship/qpr-v-rotherham; 2017-03-13 02:20:58 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; ; 1/2; 4/9; 4/9; ; 9/20; 4/9; 1/2; 1/2; 7/15; ; 4/9; 7/15; ; 5/11; 6/13; 4/9; ; 4/9; ; 
Draw; 31/10; 18/5; 17/5; 16/5; 7/2; 7/2; 18/5; ; 7/2; 7/2; 13/4; ; 10/3; 16/5; 10/3; 10/3; 41/13; ; 3; 41/13; ; 57/17; 31/10; 16/5; ; 10/3; ; 
Rotherham; 7; 11/2; 6; 11/2; 13/2; 6; 6; ; 11/2; 11/2; 11/2; ; 6; 7; 11/2; 6; 6; ; 13/2; 6; ; 53/10; 13/2; 6; ; 31/5; ; 
META; english/championship/qpr-v-rotherham; 2017-03-13 06:22:01 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; ; 1/2; 4/9; 4/9; 4/9; 9/20; 4/9; 1/2; 1/2; 7/15; ; 4/9; 7/15; ; 5/11; 6/13; 4/9; ; 4/9; ; 
Draw; 31/10; 18/5; 17/5; 16/5; 7/2; 7/2; 18/5; ; 7/2; 7/2; 13/4; 7/2; 10/3; 16/5; 10/3; 10/3; 41/13; ; 3; 41/13; ; 57/17; 31/10; 16/5; ; 10/3; ; 
Rotherham; 7; 11/2; 6; 11/2; 13/2; 6; 6; ; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 6; 6; ; 13/2; 6; ; 53/10; 13/2; 6; ; 31/5; ; 
META; english/championship/qpr-v-rotherham; 2017-03-13 10:19:32 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; ; 1/2; 4/9; 4/9; 4/9; 9/20; 4/9; 1/2; 1/2; 7/15; 5/11; 4/9; 7/15; ; 5/11; 6/13; 4/9; ; 4/9; ; 
Draw; 31/10; 18/5; 17/5; 16/5; 7/2; 7/2; 18/5; ; 7/2; 7/2; 13/4; 7/2; 10/3; 16/5; 10/3; 10/3; 41/13; 17/5; 3; 41/13; ; 57/17; 31/10; 16/5; ; 10/3; ; 
Rotherham; 7; 11/2; 6; 11/2; 13/2; 6; 6; ; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 6; 6; 11/2; 13/2; 6; ; 53/10; 13/2; 6; ; 31/5; ; 
META; english/championship/qpr-v-rotherham; 2017-03-13 14:20:58 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 4/9; 1/2; 4/9; 4/9; 4/9; 9/20; 4/9; 4/9; 4/9; 4/9; 5/11; 4/9; 4/9; 23/50; 7/15; 6/13; 4/9; ; 4/9; 4/9; 4/9
Draw; 31/10; 10/3; 7/2; 16/5; 7/2; 18/5; 18/5; 7/2; 7/2; 10/3; 13/4; 7/2; 10/3; 16/5; 7/2; 7/2; 57/17; 17/5; 3; 57/17; 18/5; 39/11; 31/10; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 6; 6; 11/2; 13/2; 11/2; 6; 6; 11/2; 6; 11/2; 11/2; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 15/2; 28/5; 13/2; 6; ; 31/5; 6; 13/2
META; english/championship/qpr-v-rotherham; 2017-03-13 18:22:12 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 4/9; 4/9
Draw; 31/10; 7/2; 17/5; 16/5; 7/2; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 6; 11/2; 11/2; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 34/5; 28/5; 13/2; 6; 13/2; ; 31/5; 6; 13/2
META; english/championship/qpr-v-rotherham; 2017-03-13 22:20:12 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 2/5; 4/9
Draw; 31/10; 10/3; 17/5; 16/5; 7/2; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 3; 7/2
Rotherham; 7; 6; 11/2; 11/2; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 34/5; 28/5; 13/2; 6; 13/2; ; 31/5; 28/5; 13/2
META; english/championship/qpr-v-rotherham; 2017-03-14 02:21:57 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 4/9; 4/9
Draw; 31/10; 10/3; 17/5; 16/5; 7/2; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 11/2; 11/2; 11/2; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 34/5; 28/5; 13/2; 6; 13/2; ; 31/5; 6; 33/5
META; english/championship/qpr-v-rotherham; 2017-03-14 06:19:43 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 2/5; 4/9
Draw; 31/10; 10/3; 17/5; 16/5; 7/2; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 3; 7/2
Rotherham; 7; 11/2; 11/2; 11/2; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 34/5; 28/5; 13/2; 6; 13/2; ; 31/5; 28/5; 33/5
META; english/championship/qpr-v-rotherham; 2017-03-14 10:20:09 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 4/9; 4/9
Draw; 31/10; 10/3; 17/5; 16/5; 7/2; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 6; 11/2; 11/2; 13/2; 6; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 6; 11/2; 13/2; 6; 34/5; 28/5; 13/2; 6; 13/2; ; 31/5; 6; 33/5
META; english/championship/qpr-v-rotherham; 2017-03-14 14:22:05 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 47/100; 7/15; 6/13; 4/9; 17/35; ; 4/9; 4/9; 4/9
Draw; 31/10; 10/3; 17/5; 17/5; 18/5; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 17/5; 17/5; 3; 17/5; 73/20; 39/11; 31/10; 16/5; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 6; 11/2; 5; 13/2; 6; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 13/2; 25/4; 11/2; 13/2; 25/4; 34/5; 28/5; 13/2; 6; 13/2; ; 32/5; 6; 33/5
META; english/championship/qpr-v-rotherham; 2017-03-14 18:19:49 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 1/2; 4/9; 5/11; 4/9; 4/9; 23/50; 7/15; 6/13; 4/9; 17/35; ; 4/9; 4/9; 4/9
Draw; 31/10; 10/3; 17/5; 17/5; 18/5; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 38/11; 17/5; 3; 38/11; 37/10; 39/11; 31/10; 16/5; 16/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 11/2; 11/2; 5; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 25/4; 11/2; 13/2; 25/4; 36/5; 28/5; 13/2; 6; 13/2; ; 32/5; 6; 33/5
META; english/championship/qpr-v-rotherham; 2017-03-14 22:19:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 1/2; 4/9; 5/11; 4/9; 4/9; 23/50; 7/15; 6/13; 4/9; 17/35; ; 4/9; 2/5; 4/9
Draw; 31/10; 7/2; 17/5; 17/5; 18/5; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 38/11; 17/5; 3; 38/11; 37/10; 39/11; 31/10; 16/5; 16/5; ; 10/3; 3; 7/2
Rotherham; 7; 11/2; 11/2; 5; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 25/4; 11/2; 13/2; 25/4; 36/5; 28/5; 13/2; 6; 13/2; ; 34/5; 32/5; 13/2
META; english/championship/qpr-v-rotherham; 2017-03-15 02:22:28 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
QPR; 4/9; 4/9; 40/85; 1/2; 9/20; 12/25; 9/20; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 1/2; 4/9; 5/11; 4/9; 4/9; 23/50; 7/15; 4/9; 4/9; 6/13; ; 4/9; 4/9; 4/9
Draw; 31/10; 7/2; 17/5; 17/5; 18/5; 18/5; 18/5; 10/3; 7/2; 10/3; 13/4; 10/3; 7/2; 16/5; 15/4; 7/2; 38/11; 17/5; 10/3; 38/11; 37/10; 39/11; 57/17; 16/5; 17/5; ; 10/3; 10/3; 7/2
Rotherham; 7; 11/2; 11/2; 5; 13/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 6; 6; 7; 6; 6; 25/4; 11/2; 13/2; 25/4; 36/5; 28/5; 13/2; 6; 13/2; ; 34/5; 31/5; 32/5
