Cardiff; 7/2; 16/5; 16/5; 16/5; 7/2; 16/5; 17/5; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 10/3; 10/3; 17/5; 11/4; 3; 57/17; 7/2; 37/13; 13/4; 16/5; ; 7/2; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 18:20:29 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 19/20; 10/11; 19/20; 19/20; 1; 19/20; 1; 1; 10/11; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 97/100; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 23/10; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 47/20; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 40/17; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 16/5; 7/2; 3; 33/10; 10/3; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 7/2; 10/3; 10/3; 57/17; 11/4; 3; 57/17; 17/5; 7/2; 13/4; 16/5; ; 10/3; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 22:20:21 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 1; 1; 1; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 19/20; 19/20; 10/11; 19/20; 97/100; 28/29; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 21/10; 47/20; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 40/17; 23/10; 23/10; ; 9/4; 23/10; 23/10
Cardiff; 7/2; 16/5; 10/3; 7/2; 3; 16/5; 10/3; 29/10; 3; 16/5; 16/5; 10/3; 10/3; 17/5; 10/3; 10/3; 13/4; 11/4; 3; 13/4; 71/20; 31/10; 13/4; 16/5; ; 7/2; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-11 02:21:46 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 20/21; 1; 1; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 19/20; 19/20; 10/11; 19/20; 97/100; 28/29; 10/11; 19/20; ; 10/11; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 21/10; 47/20; 12/5; 9/4; 12/5; 9/4; 12/5; 23/10; 9/4; 12/5; 40/17; 23/10; 23/10; ; 9/4; 23/10; 23/10
Cardiff; 7/2; 16/5; 16/5; 7/2; 3; 16/5; 17/5; 29/10; 3; 10/3; 16/5; 10/3; 10/3; 7/2; 10/3; 10/3; 13/4; 11/4; 3; 13/4; 71/20; 31/10; 13/4; 16/5; ; 7/2; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-11 06:20:35 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 19/20; 17/20; 10/11; 19/20; 1; 10/11; 20/21; 1; 10/11; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; 19/20; 10/11; 19/20; 97/100; 19/20; 10/11; 10/11; ; 9/10; 10/11; 10/11
Draw; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 9/4; 21/10; 47/20; 5/2; 9/4; 12/5; 9/4; 12/5; 23/10; 9/4; 12/5; 40/17; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 7/2; 7/2; 7/2; 7/2; 10/3; 18/5; 29/10; 10/3; 7/2; 10/3; 7/2; 7/2; 7/2; 10/3; 10/3; 13/4; 11/4; 3; 13/4; 71/20; 41/13; 13/4; 10/3; ; 7/2; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-11 10:21:50 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 19/20; 17/20; 9/10; 19/20; 10/11; 10/11; 20/21; 19/20; 9/10; 17/20; 20/23; 20/23; 9/10; 19/20; 10/11; 10/11; 10/11; 9/10; 10/11; 10/11; 23/25; 9/10; 10/11; 10/11; ; 10/11; 10/11; 10/11
Draw; 12/5; 23/10; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 47/20; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 40/17; 23/10; 23/10; ; 9/4; 23/10; 23/10
Cardiff; 7/2; 18/5; 18/5; 7/2; 7/2; 7/2; 18/5; 31/10; 10/3; 7/2; 7/2; 7/2; 7/2; 15/4; 7/2; 7/2; 7/2; 3; 3; 39/11; 15/4; 7/2; 13/4; 10/3; ; 7/2; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-11 14:24:27 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Leeds; 1; 17/20; 1; 19/20; 1; 19/20; 21/20; 19/20; 9/10; 1; 19/20; 20/21; 9/10; 21/20; 21/20; 19/20; 10/11; 9/10; 10/11; 10/11; 24/25; 15/14; 1; 21/20; ; 1; 10/11; 21/20
Draw; 23/10; 9/4; 23/10; 23/10; 5/2; 9/4; 12/5; 23/10; 23/10; 21/10; 23/10; 9/4; 47/20; 9/4; 11/5; 23/10; 9/4; 12/5; 23/10; 9/4; 47/20; 11/5; 21/10; 11/5; ; 2; 23/10; 9/4
Cardiff; 7/2; 19/5; 7/2; 7/2; 3; 7/2; 31/10; 31/10; 7/2; 3; 7/2; 16/5; 7/2; 7/2; 3; 7/2; 38/11; 3; 3; 39/11; 15/4; 29/10; 31/10; 3; ; 3; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-11 18:19:58 GMT+2; 2017-02-11 15:00; In Play; Xlenovo
Draw; 12/5; 5/2; ; 15/8; ; 23/10; 12/5; 23/10; ; 23/10; 11/8; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
Cardiff; 8/15; 4/9; ; 16/5; ; 8/15; 8/15; 1/2; ; 10/21; 14/5; ; 12/25; ; ; ; ; 10/21; ; ; ; ; ; ; ; ; ; 
Leeds; 8; 17/2; ; 11/10; ; 15/2; 15/2; 15/2; ; 17/2; 13/10; ; 9; ; ; ; ; 31/4; ; ; ; ; ; ; ; ; ; 
