META; english/championship/leeds-v-bristol-city; 2017-02-11 14:25:11 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leeds; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/leeds-v-bristol-city; 2017-02-11 18:20:22 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leeds; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/leeds-v-bristol-city; 2017-02-11 22:23:19 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 21/20; 1; ; 10/11; 11/10; ; 11/10; ; ; 21/20; 21/20; ; 21/20; 21/20; ; 21/20; 11/10; ; ; ; ; ; ; ; ; 20/21; ; 
Leeds; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 42/41; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 12/5; 5/2; 9/4; 23/10; 9/4; 21/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 40/17; 23/10; 23/10; ; 23/10; 23/10; 
Bristol City; 11/4; 13/5; 27/10; 5/2; 13/5; 27/10; 14/5; 12/5; 13/5; 11/4; 5/2; 13/5; 11/4; 11/4; 3; 13/5; 27/10; 13/5; 13/5; 27/10; 57/20; 5/2; 13/5; 5/2; ; 14/5; 27/10; 
META; english/championship/leeds-v-bristol-city; 2017-02-13 14:20:05 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 5/2; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 23/10; 12/5; 5/2; 23/10; 23/10; 12/5; ; 23/10; 23/10; 
Bristol City; 11/4; 13/5; 27/10; 14/5; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 11/4; 11/4; 27/10; 27/10; 13/5; 13/5; 27/10; 57/20; 27/11; 13/5; 13/5; ; 14/5; 27/10; 
META; english/championship/leeds-v-bristol-city; 2017-02-13 18:21:05 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Leeds; 11/10; 21/20; 21/20; 11/10; 21/20; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 11/10; 1; 21/20; 1; 21/20; 21/20; 1; 11/10; 42/41; 21/20; 21/20; ; 1; 21/20; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 5/2; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 5/2; 27/11; 23/10; 12/5; ; 23/10; 12/5; 
