META; english/championship/brighton-v-newcastle; 2017-02-25 18:22:22 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Newcastle; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/brighton-v-newcastle; 2017-02-25 22:20:57 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Draw; 23/10; 9/4; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 2; 11/5; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 28/13; 11/5; ; 21/10; 2; 
META; english/championship/brighton-v-newcastle; 2017-02-27 02:19:30 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 7/5; 7/5; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 8/5; 10/7; 17/11; 6/4; ; 6/4; 6/4; 
Newcastle; 15/8; 2; 2; 15/8; 2; 39/20; 2; 7/4; 2; 19/10; 15/8; 2; 2; 2; 19/10; 15/8; 37/19; 24/13; 9/5; 37/19; 2; 9/5; 24/13; 15/8; ; 19/10; 19/10; 
Draw; 23/10; 9/4; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 2; 11/5; 23/10; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 28/13; 11/5; ; 21/10; 2; 
META; english/championship/brighton-v-newcastle; 2017-02-27 06:19:19 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 8/5; 31/21; 17/11; 6/4; ; 6/4; 6/4; 6/4
Newcastle; 2; 15/8; 2; 15/8; 2; 39/20; 2; 7/4; 2; 19/10; 15/8; 2; 2; 2; 19/10; 15/8; 37/19; 24/13; 9/5; 37/19; 2; 19/10; 24/13; 15/8; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 2; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 23/10; 23/10; 28/13; 21/10; ; 21/10; 2; 21/10
META; english/championship/brighton-v-newcastle; 2017-02-27 10:19:44 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 8/5; 17/11; 6/4; 16/11; 6/4; 6/4; 8/5; 52/35; 17/11; 6/4; ; 6/4; 6/4; 6/4
Newcastle; 2; 15/8; 2; 15/8; 2; 39/20; 2; 7/4; 2; 19/10; 15/8; 19/10; 2; 2; 19/10; 15/8; 37/19; 24/13; 9/5; 37/19; 2; 23/12; 24/13; 15/8; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 23/10; 9/4; 28/13; 21/10; ; 21/10; 2; 21/10
META; english/championship/brighton-v-newcastle; 2017-02-27 14:20:02 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 8/5; 6/4; 8/5; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 8/5; 17/11; 6/4; 16/11; 6/4; 6/4; 8/5; 52/35; 17/11; 6/4; ; 6/4; 6/4; 6/4
Newcastle; 2; 19/10; 41/20; 2; 2; 39/20; 2; 7/4; 2; 19/10; 15/8; 2; 2; 2; 19/10; 15/8; 37/19; 24/13; 9/5; 37/19; 2; 23/12; 24/13; 15/8; ; 19/10; 19/10; 19/10
Draw; 23/10; 23/10; 43/20; 21/10; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 23/10; 9/4; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/brighton-v-newcastle; 2017-02-27 18:20:38 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 7/5; 27/20; 29/20; 29/20; 6/4; 7/5; 16/11; 7/5; 16/11; 27/20; 7/5; 6/4; 16/11; 23/17; 7/5; ; 7/5; 7/5; 7/5
Newcastle; 21/10; 19/10; 11/5; 2; 21/10; 39/20; 11/5; 7/4; 85/40; 21/10; 2; 2; 21/10; 11/5; 21/10; 2; 21/10; 24/13; 21/10; 21/10; 43/20; 2; 21/10; 2; ; 2; 2; 11/5
Draw; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 21/10; 2; 23/10; 11/5; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 23/10; 9/4; 28/13; 21/10; ; 21/10; 21/10; 9/4
META; english/championship/brighton-v-newcastle; 2017-02-27 22:19:42 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 31/20; 7/5; 7/5; 27/20; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 16/11; 27/20; 7/5; 31/20; 7/5; 23/17; 7/5; ; 7/5; 7/5; 7/5
Newcastle; 21/10; 2; 11/5; 2; 21/10; 2; 11/5; 19/10; 85/40; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 24/13; 21/10; 21/10; 85/40; 28/13; 21/10; 2; ; 2; 2; 11/5
Draw; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 21/10; 11/5; 21/10; 2; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 9/4; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/brighton-v-newcastle; 2017-02-28 02:19:24 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 31/20; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 6/4; 7/5; 16/11; 27/20; 7/5; 149/100; 7/5; 23/17; 6/4; ; 7/5; 7/5; 6/4
Newcastle; 21/10; 2; 11/5; 2; 21/10; 2; 11/5; 19/10; 85/40; 2; 2; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 24/13; 21/10; 21/10; 111/50; 11/5; 21/10; 15/8; ; 21/10; 21/10; 21/10
Draw; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 21/10; 11/5; 21/10; 2; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 9/4; 21/10; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/brighton-v-newcastle; 2017-02-28 06:19:32 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 31/20; 7/5; 11/8; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; 7/5; 16/11; 27/20; 7/5; 29/20; 7/5; 23/17; 6/4; ; 6/4; 7/5; 7/5
Draw; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 2; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 9/4; 21/10; 28/13; 11/5; ; 21/10; 21/10; 9/4
Newcastle; 21/10; 2; 43/20; 2; 21/10; 43/20; 11/5; 19/10; 85/40; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 24/13; 21/10; 21/10; 57/25; 9/4; 21/10; 2; ; 2; 2; 9/4
META; english/championship/brighton-v-newcastle; 2017-02-28 10:19:43 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 7/5; 6/4; 6/4; 29/20; 29/20; 29/20; 31/20; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 6/4; 16/11; 7/5; 16/11; 27/20; 7/5; 29/20; 7/5; 23/17; 6/4; ; 7/5; 7/5; 6/4
Draw; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 2; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 9/4; 21/10; 28/13; 11/5; ; 21/10; 21/10; 11/5
Newcastle; 21/10; 11/5; 43/20; 2; 21/10; 43/20; 11/5; 19/10; 85/40; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 24/13; 21/10; 21/10; 57/25; 11/5; 21/10; 2; ; 21/10; 21/10; 9/4
META; english/championship/brighton-v-newcastle; 2017-02-28 14:20:36 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 7/5; 6/4; 6/4; 29/20; 29/20; 31/20; 31/20; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 16/11; 16/11; 27/20; 16/11; 6/4; 17/12; 23/17; 6/4; ; 6/4; 7/5; 6/4
Newcastle; 21/10; 21/10; 43/20; 21/10; 21/10; 43/20; 21/10; 2; 85/40; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 39/19; 24/13; 21/10; 39/19; 11/5; 28/13; 28/13; 2; ; 21/10; 21/10; 11/5
Draw; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 2; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 11/5; 21/10; 28/13; 9/4; 21/10; 21/10; 11/5; ; 21/10; 21/10; 11/5
META; english/championship/brighton-v-newcastle; 2017-02-28 18:21:25 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 31/20; 6/4; 6/4; 6/4; 29/20; 29/20; 31/20; 31/20; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 16/11; 16/11; 27/20; 16/11; 6/4; 16/11; 23/17; 6/4; ; 6/4; 6/4; 6/4
Newcastle; 21/10; 21/10; 21/10; 21/10; 21/10; 43/20; 85/40; 2; 85/40; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 39/19; 24/13; 21/10; 39/19; 11/5; 21/10; 28/13; 2; ; 2; 2; 21/10
Draw; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 11/5; 21/10; 28/13; 9/4; 21/10; 21/10; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/brighton-v-newcastle; 2017-02-28 22:21:37 GMT+2; 2017-02-28 19:45; In Play; Xlenovo
Brighton; 2/5; 4/9; ; 4/9; 11/8; 2/5; 2/5; 4/9; ; 2/5; 4/9; 4/9; 2/5; 4/9; ; ; ; ; ; ; ; ; ; ; ; 4/9; 1/2; 4/9
Draw; 3; 11/4; ; 3; 9/4; 14/5; 31/10; 3; ; 3; 29/10; 3; 16/5; 3; ; ; ; ; ; ; ; ; ; ; ; 3; 3; 3
Newcastle; 17/2; 8; ; 15/2; 11/5; 8; 15/2; 13/2; ; 15/2; 7; 7; 17/2; 17/2; ; ; ; ; ; ; ; ; ; ; ; 37/5; 33/5; 39/5
