META; english/championship/brentford-v-bristol-city; 2017-03-19 02:21:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Brentford; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; 13/11; ; 6/5; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 28/13; ; 11/5; ; ; ; 
Bristol City; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 27/11; ; 5/2; ; ; ; 
META; english/championship/brentford-v-bristol-city; 2017-03-19 06:19:44 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Brentford; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; 13/11; ; 6/5; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 28/13; ; 11/5; ; ; ; 
Bristol City; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 27/11; ; 5/2; ; ; ; 
META; english/championship/brentford-v-bristol-city; 2017-03-19 10:21:30 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Brentford; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; 13/11; ; 6/5; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 28/13; ; 11/5; ; ; ; 
Bristol City; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 27/11; ; 5/2; ; ; ; 
META; english/championship/brentford-v-bristol-city; 2017-03-19 14:20:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Brentford; 23/20; 6/5; ; ; ; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 6/5; ; 6/5; 6/5; ; 16/13; 6/5; ; 5/4; ; ; ; 
Bristol City; 23/10; 21/10; ; ; ; ; 2; ; ; 19/10; ; ; ; ; ; ; 28/13; ; 9/4; 28/13; ; 23/12; 9/4; ; 23/10; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 13/5; ; ; 13/5; ; ; ; ; ; ; 23/10; ; 23/10; 23/10; ; 27/11; 23/10; ; 40/17; ; ; ; 
META; english/championship/brentford-v-bristol-city; 2017-03-19 18:22:39 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Brentford; 23/20; 5/4; 13/10; 13/10; ; 13/10; 13/10; ; ; 5/4; 5/4; ; ; ; 13/10; ; 6/5; ; 6/5; 6/5; ; 16/13; 6/5; ; 5/4; ; ; ; 
