META; english/championship/nottingham-forest-v-brentford; 2017-03-04 22:21:24 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 7/4; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 1; ; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 12/5; 5/2; 11/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 27/11; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 06:19:48 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 6/4; 11/8; 7/5; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 7/5; 27/20; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 29/20; 39/29; 23/17; 7/5; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 37/20; 8/5; 19/10; 19/10; 19/10; 15/8; 15/8; 9/5; 7/4; 15/8; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 2; 7/4; 37/19; 9/5; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 27/11; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 10:19:51 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 6/4; 11/8; 7/5; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 7/5; 27/20; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 6/4; 13/9; 23/17; 7/5; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 37/20; 8/5; 19/10; 19/10; 19/10; 15/8; 15/8; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 39/20; 20/11; 37/19; 9/5; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 14:20:43 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 6/4; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 5/4; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 23/17; 27/20; 6/4; 31/20; 6/4; 23/17; 6/4; ; 7/5; 7/5; 
Brentford; 19/10; 7/4; 9/5; 19/10; 15/8; 20/11; 9/5; 15/8; 9/5; 17/10; 13/8; 9/5; 7/4; 9/5; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 47/25; 7/4; 37/19; 7/4; ; 9/5; 9/5; 
Draw; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 23/10; 51/20; 13/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 51/20; 27/11; 40/17; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 18:21:06 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 31/20; 6/4; 31/20; 6/4; 8/5; 8/5; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 31/20; 17/11; 6/4; 6/4; ; 6/4; 6/4; 
Brentford; 15/8; 17/10; 7/4; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 9/5; 13/8; 9/5; 17/10; 7/4; 17/10; 17/10; 47/25; 17/10; 17/10; 17/10; ; 7/4; 7/4; 
Draw; 5/2; 5/2; 13/5; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 5/2; 5/2; 13/5; 12/5; 9/4; 12/5; 12/5; 51/20; 27/11; 27/11; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 22:20:39 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 13/8; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 8/5; 6/4; 8/5; ; 6/4; 6/4; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 7/4; 13/8; 9/5; 17/10; 7/4; 17/10; 17/10; 42/25; 28/17; 17/10; 17/10; ; 17/10; 13/8; 
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 5/2; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 02:21:07 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 8/5; 33/20; 13/8; 7/5; 8/5; 6/4; 8/5; 31/20; 8/5; 13/8; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 8/5; 6/4; 8/5; ; 8/5; 13/8; 
Brentford; 7/4; 17/10; 33/20; 7/4; 7/4; 17/10; 17/10; 9/5; 13/8; 13/8; 17/10; 13/8; 33/20; 17/10; 13/8; 7/4; 17/10; 7/4; 17/10; 17/10; 42/25; 8/5; 17/10; 17/10; ; 17/10; 13/8; 
Draw; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 5/2; 27/11; 12/5; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 06:19:47 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 17/10; 13/8; 33/20; 6/4; 13/8; 5/3; 17/10; 8/5; 8/5; 13/8; 17/10; 13/8; 13/8; 17/10; 13/8; 8/5; 28/17; 6/4; 13/8; 28/17; 42/25; 8/5; 28/17; 17/10; ; 13/8; 13/8; 
Brentford; 17/10; 8/5; 33/20; 7/4; 17/10; 5/3; 13/8; 13/8; 13/8; 6/4; 13/8; 8/5; 13/8; 17/10; 8/5; 7/4; 8/5; 7/4; 6/4; 8/5; 42/25; 8/5; 17/11; 13/8; ; 13/8; 13/8; 
Draw; 5/2; 12/5; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 27/11; 9/4; 12/5; 27/11; 129/50; 5/2; 12/5; 12/5; ; 12/5; 5/2; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 10:19:47 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 17/10; 8/5; 33/20; 17/10; 17/10; 5/3; 17/10; 8/5; 13/8; 13/8; 17/10; 13/8; 13/8; 17/10; 13/8; 7/4; 28/17; 6/4; 13/8; 28/17; 42/25; 8/5; 28/17; 17/10; ; 13/8; 13/8; 
Brentford; 17/10; 8/5; 33/20; 17/10; 17/10; 5/3; 13/8; 13/8; 13/8; 6/4; 13/8; 31/20; 13/8; 17/10; 8/5; 8/5; 28/17; 7/4; 6/4; 28/17; 42/25; 8/5; 17/11; 13/8; ; 13/8; 13/8; 
Draw; 5/2; 5/2; 13/5; 23/10; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 5/2; 5/2; 40/17; 9/4; 12/5; 40/17; 129/50; 5/2; 12/5; 23/10; ; 5/2; 5/2; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 14:21:15 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 17/10; 8/5; 33/20; 17/10; 13/8; 5/3; 13/8; 8/5; 13/8; 13/8; 17/10; 8/5; 13/8; 17/10; 13/8; 8/5; 28/17; 8/5; 8/5; 28/17; 17/10; 8/5; 8/5; 17/10; ; 13/8; 13/8; 
