META; english/championship/norwich-v-reading; 2017-04-02 06:47:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 10:49:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 14:50:10 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; ; ; ; ; 1; ; 21/20; ; ; ; ; 1; ; 1; 1; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Reading; 11/4; 13/5; 14/5; ; 11/4; 11/4; 11/4; 5/2; 14/5; ; 13/5; 14/5; ; 11/4; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 28/11; ; 5/2; ; 
META; english/championship/norwich-v-reading; 2017-04-03 22:22:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; ; 1; 1; 21/20; 10/11; 21/20; ; 19/20; 1; ; 1; ; 1; 21/20; 1; 21/20; 21/20; ; ; 13/12; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 5/2; 5/2; ; 23/10; 23/10; ; 12/5; ; 5/2; 40/17; 12/5; 23/10; 40/17; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 11/4; 13/5; 14/5; ; 11/4; 11/4; 11/4; 5/2; 14/5; ; 13/5; 14/5; ; 11/4; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 28/11; ; 5/2; ; 
META; english/championship/norwich-v-reading; 2017-04-04 02:23:04 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; ; 1; 1; 21/20; 10/11; 21/20; ; 19/20; 1; 1; 1; ; 1; 21/20; 1; 21/20; 21/20; ; ; 13/12; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 5/2; 5/2; ; 23/10; 23/10; 12/5; 12/5; ; 5/2; 40/17; 12/5; 23/10; 40/17; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 11/4; 13/5; 14/5; ; 11/4; 11/4; 11/4; 5/2; 14/5; ; 13/5; 14/5; 11/4; 11/4; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 28/11; ; 5/2; ; 
META; english/championship/norwich-v-reading; 2017-04-04 06:21:10 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; ; 1; 1; 21/20; 10/11; 21/20; ; 19/20; 1; 1; 1; ; 1; 21/20; 1; 21/20; ; ; ; 13/12; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 5/2; 5/2; ; 23/10; 23/10; 12/5; 12/5; ; 5/2; 40/17; 12/5; 23/10; ; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 11/4; 13/5; 14/5; ; 11/4; 11/4; 11/4; 5/2; 14/5; ; 13/5; 14/5; 11/4; 11/4; ; 27/10; 13/5; 13/5; 5/2; ; ; ; 5/2; ; 28/11; ; 5/2; ; 
META; english/championship/norwich-v-reading; 2017-04-04 10:21:30 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; ; 1; 1; 21/20; 10/11; 21/20; ; 19/20; 1; 1; 1; ; 21/20; 21/20; 1; 21/20; 21/20; ; ; 13/12; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 5/2; 5/2; ; 23/10; 23/10; 12/5; 12/5; ; 5/2; 40/17; 12/5; 23/10; 40/17; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 11/4; 13/5; 14/5; ; 11/4; 11/4; 14/5; 5/2; 14/5; ; 13/5; 14/5; 11/4; 11/4; ; 14/5; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 28/11; ; 5/2; ; 
META; english/championship/norwich-v-reading; 2017-04-04 14:23:15 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 1; 1; ; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 1; 1; 19/20; ; 21/20; 1; 1; 21/20; 1; ; ; 13/12; ; 11/10; ; 1; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 23/10; 12/5; 12/5; ; 5/2; 12/5; 12/5; 23/10; 12/5; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 29/10; 13/5; 11/4; ; 11/4; 11/4; 14/5; 5/2; 14/5; 11/4; 13/5; 14/5; 11/4; 29/10; ; 14/5; 45/17; 13/5; 5/2; 45/17; ; ; 5/2; ; 28/11; ; 13/5; ; 
META; english/championship/norwich-v-reading; 2017-04-04 18:22:19 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 1; 1; ; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 1; 19/20; 19/20; ; 1; 1; 1; 1; 1; ; ; 42/41; ; 21/20; ; 1; ; 
Draw; 12/5; 12/5; 12/5; ; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 23/10; 23/10; 49/20; 12/5; ; 5/2; 27/11; 12/5; 23/10; 27/11; ; ; 40/17; ; 12/5; ; 11/5; ; 
Reading; 29/10; 14/5; 11/4; ; 11/4; 11/4; 29/10; 5/2; 14/5; 11/4; 13/5; 14/5; 57/20; 29/10; ; 29/10; 11/4; 13/5; 13/5; 11/4; ; ; 45/17; ; 27/10; ; 27/10; ; 
META; english/championship/norwich-v-reading; 2017-04-04 22:24:21 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 19/20; 1; ; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 21/20; 1; 1; 21/20; ; ; 42/41; ; 21/20; ; 20/21; ; 
Draw; 12/5; 5/2; 49/20; ; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 23/10; 27/11; ; ; 40/17; ; 12/5; ; 12/5; ; 
Reading; 29/10; 14/5; 11/4; ; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 57/20; 29/10; 14/5; 29/10; 27/10; 13/5; 13/5; 27/10; ; ; 45/17; ; 27/10; ; 11/4; ; 
META; english/championship/norwich-v-reading; 2017-04-05 02:20:41 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 19/20; 19/20; 1; ; 1; 1; 1; 10/11; 21/20; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 21/20; 1; 1; 21/20; ; ; 42/41; 19/20; 21/20; ; 20/21; ; 
Draw; 12/5; 5/2; 49/20; ; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 13/5; 27/11; 12/5; 23/10; 27/11; ; ; 40/17; 12/5; 12/5; ; 12/5; ; 
