META; english/championship/reading-v-fulham; 2017-05-13 22:19:31 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
Fulham; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Reading; ; 21/10; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Draw; ; 12/5; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/championship/reading-v-fulham; 2017-05-14 02:18:42 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
Fulham; ; 5/4; ; 13/10; ; ; 13/10; 6/5; ; ; ; ; ; ; ; 23/17; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Reading; ; 21/10; ; 8/5; ; ; 21/10; 2; ; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; ; 12/5; ; 23/10; ; ; 12/5; 9/4; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/reading-v-fulham; 2017-05-14 10:18:41 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
Fulham; ; 5/4; ; 13/10; ; ; 11/8; 6/5; ; ; ; 7/5; ; ; 7/5; 11/8; 6/4; ; ; 6/4; 29/20; ; ; ; ; ; 8/11; ; 
Reading; ; 21/10; ; 8/5; ; ; 2; 2; ; ; ; 19/10; ; ; 15/8; 24/13; 19/10; ; ; 19/10; 85/40; ; ; ; ; ; 19/10; ; 
Draw; ; 12/5; ; 23/10; ; ; 12/5; 9/4; ; ; ; 23/10; ; ; 23/10; 12/5; 23/10; ; ; 23/10; 12/5; ; ; ; ; ; 2; ; 
META; english/championship/reading-v-fulham; 2017-05-14 14:18:48 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
Fulham; 6/4; 5/4; 29/20; 7/5; ; 29/20; 7/5; 6/5; ; 11/8; 11/8; 29/20; 7/5; ; 6/4; 7/5; 6/4; ; ; 6/4; 6/4; 26/19; ; ; ; ; 11/8; ; 
Reading; 7/4; 21/10; 15/8; 9/5; ; 19/10; 15/8; 2; ; 7/4; 7/4; 19/10; 37/20; ; 15/8; 24/13; 24/13; ; ; 24/13; 41/20; 20/11; ; ; ; ; 19/10; ; 
Draw; 23/10; 12/5; 12/5; 5/2; ; 12/5; 5/2; 9/4; ; 9/4; 9/4; 9/4; 12/5; ; 23/10; 12/5; 23/10; ; ; 23/10; 12/5; 12/5; ; ; ; ; 23/10; ; 
META; english/championship/reading-v-fulham; 2017-05-14 18:18:34 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
Fulham; 13/10; 5/4; 13/10; 7/5; 29/20; 27/20; 13/10; 6/5; ; 5/4; 5/4; 11/8; 27/20; ; 13/10; 13/10; 16/11; ; ; 7/5; 29/20; 17/13; ; ; ; ; 27/20; 13/10; 13/10
Reading; 21/10; 21/10; 41/20; 9/5; 9/5; 41/20; 2; 2; ; 19/10; 19/10; 19/10; 39/20; ; 21/10; 2; 19/10; ; ; 2; 21/10; 19/10; ; ; ; ; 19/10; 19/10; 19/10
Draw; 23/10; 12/5; 49/20; 5/2; 23/10; 5/2; 5/2; 9/4; ; 23/10; 23/10; 12/5; 12/5; ; 12/5; 12/5; 40/17; ; ; 23/10; 49/20; 12/5; ; ; ; ; 23/10; 23/10; 12/5
META; english/championship/reading-v-fulham; 2017-05-14 22:18:39 GMT+3; 2017-05-16 19:45; Nothing; Xlenovo
